idade,renda,propriedade_casa,tempo_emprego,intencao_emprestimo,classificacao,vlr_emprestimo,tx_juros,status_emprestimo,pct_renda_emprestimo,inadimplencia_arquivada,hist_credito,nivel_risco,faixa_renda,faixa_emprestimo,alerta_comprometimento,faixa_hist_credito
22.0,59000,Alugada,,Pessoal,D,35000,16.02,1,0.59,Sim,3,Risco Médio,Média,Muito Alto,True,Curto
21.0,9600,Propria,5.0,Educacão,B,1000,11.14,0,0.1,Não,2,Risco Baixo,Muito Baixa,Muito Baixo,False,Muito Curto
25.0,9600,Financiada,1.0,Saúde,C,5500,12.87,1,0.57,Não,3,Risco Médio-Baixo,Muito Baixa,Baixo,True,Curto
23.0,65500,Alugada,4.0,Saúde,C,35000,15.23,1,0.53,Não,2,Risco Médio-Baixo,Alta,Muito Alto,True,Muito Curto
24.0,54400,Alugada,8.0,Saúde,C,35000,14.27,1,0.55,Sim,4,Risco Médio-Baixo,Média,Muito Alto,True,Curto
21.0,9900,Propria,2.0,,A,2500,7.14,1,0.25,Não,2,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Muito Curto
26.0,77100,Alugada,8.0,Educacão,B,35000,12.42,1,0.45,Não,3,Risco Baixo,Alta,Muito Alto,True,Curto
24.0,78956,Alugada,5.0,Saúde,B,35000,11.11,1,0.44,Não,4,Risco Baixo,Alta,Muito Alto,True,Curto
24.0,83000,Alugada,8.0,Pessoal,A,35000,8.9,1,0.42,Não,2,Risco Muito Baixo,Alta,Muito Alto,True,Muito Curto
21.0,10000,Propria,6.0,,D,1600,14.74,1,0.16,Não,3,Risco Médio,Muito Baixa,Muito Baixo,False,Curto
22.0,85000,Alugada,6.0,,B,35000,10.37,1,0.41,Não,4,Risco Baixo,Alta,Muito Alto,True,Curto
21.0,10000,Propria,2.0,Reforma,A,4500,8.63,1,0.45,Não,2,Risco Muito Baixo,Muito Baixa,Baixo,True,Muito Curto
23.0,95000,Alugada,2.0,,A,35000,7.9,1,0.37,Não,2,Risco Muito Baixo,Muito Alta,Muito Alto,False,Muito Curto
26.0,108160,Alugada,4.0,Educacão,E,35000,18.39,1,0.32,Não,4,Risco Médio-Alto,Muito Alta,Muito Alto,False,Curto
23.0,115000,Alugada,2.0,Educacão,A,35000,7.9,0,0.3,Não,4,Risco Muito Baixo,Muito Alta,Muito Alto,False,Curto
23.0,500000,Financiada,7.0,Consolidação de dívidas,B,30000,10.65,0,0.06,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
23.0,120000,Alugada,0.0,Educacão,A,35000,7.9,0,0.29,Não,4,Risco Muito Baixo,Muito Alta,Muito Alto,False,Curto
23.0,92111,Alugada,7.0,Saúde,F,35000,20.25,1,0.32,Não,4,Risco Alto,Muito Alta,Muito Alto,False,Curto
23.0,113000,Alugada,8.0,Consolidação de dívidas,D,35000,18.25,1,0.31,Não,4,Risco Médio,Muito Alta,Muito Alto,False,Curto
24.0,10800,Financiada,8.0,Educacão,B,1750,10.99,1,0.16,Não,2,Risco Baixo,Muito Baixa,Muito Baixo,False,Muito Curto
25.0,162500,Alugada,2.0,,A,35000,7.49,0,0.22,Não,4,Risco Muito Baixo,Muito Alta,Muito Alto,False,Curto
25.0,137000,Alugada,9.0,Pessoal,E,34800,16.77,0,0.25,Sim,2,Risco Médio-Alto,Muito Alta,Muito Alto,False,Muito Curto
22.0,65000,Alugada,4.0,Educacão,D,34000,17.58,1,0.52,Não,4,Risco Médio,Alta,Muito Alto,True,Curto
24.0,10980,Propria,0.0,Pessoal,A,1500,7.29,0,0.14,Não,3,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Curto
22.0,80000,Alugada,3.0,Pessoal,D,33950,14.54,1,0.42,Sim,4,Risco Médio,Alta,Muito Alto,True,Curto
24.0,67746,Alugada,8.0,Reforma,C,33000,12.68,1,0.49,Não,3,Risco Médio-Baixo,Alta,Muito Alto,True,Curto
21.0,11000,Financiada,3.0,,E,4575,17.74,1,0.42,Sim,3,Risco Médio-Alto,Muito Baixa,Baixo,True,Curto
